comment_name,comment_text,comment_time,label
琳希,"音樂好聽，場景精緻用心
但劇情太熱血，可能我離青春太遙遠QAQ
接受不能",2019/10/16 00:18,正面
CC,毫無劇情,2019/10/14 23:45,負面
Allshine,"新海誠最廣為人知的作品應該就是《你的名字》了，我想應該有不少人帶著當時的感動去期待《天氣之子》。《天氣之子》的確和《你的名字》一樣是以一段帶有奇幻色彩的少年純愛故事為基調、配樂同樣由RADWIMPS製作、新海誠一貫的MV式剪接，會帶點色色的幽默，再抹上一層淡淡的哀傷，片中甚至還有《你的名字》的小巧思，風格一致到還以為是《你的名字》的續集。不過《天氣之子》對我來說有著更高的檔次，它不只是一段就算世界毀滅也要不顧一切去愛的純愛故事，更是一段少年對大人世界的控訴。

心得全文 http://bit.ly/309z6ga",2019/10/14 22:54,正面
哲聖,"如果是在家裡看大概會覺得不錯，在電影院看就覺得有點浪費，沒有太多需要大螢幕和音效的場面。劇情也沒有<你的名字>突出。

另外讓我不解的是，劇中一直強調叛逆青少年跟社會之間的衝突，可是從頭到尾都沒解釋主角到底為什麼離家出走，感覺就是為了叛逆而叛逆，然後還順手撿到天氣女友，這個人設很蒼白。",2019/10/13 01:43,負面
Love,覺得還好啊 怎麼會有這麼多人要把天氣之子捧上天,2019/10/11 10:55,負面
黃橘子,"很多場景的畫面呈現真的太棒了，
會為了場景去３刷、４刷，
只是故事與角色略顯單薄，
可能２小時不夠用吧？",2019/10/11 00:19,正面
隨無飄渺,"真的蠻無聊的

數度發呆狀態

就一個男生離家出走 之後再連鎖店遇到女主角 女主角發揮大愛給他漢堡吃

男生被流氓80 從垃圾桶撿到一把槍

男主在一家經營記者的店家住下來 打工之類 一天三百把沒記錯 
男主在碰到女主 救了他 但被流氓抓到 男主角就開槍

簡單來說 女主角被當成晴女 犧牲自己就可以換取天氣的正常 
男主後面後悔去添上救了她 之後幾年之內就一直下雨 

中間舊日常番  畫面優美 特效還行 劇情完全沒打到自己的點
你的名子要我評分 綜合我會給90分 這部 綜合70把 就特效畫面多給10分",2019/10/10 15:36,負面
韋恩少爺,這部真的不行，很多地方都怪怪的，尤其是男主的個性，但是畫面以及配樂還是相當有水準，其他就不敢苟同了。,2019/10/8 16:28,負面
87,畫面和音樂很美，套路類似你的名字，劇情個人覺得雖然沒有到賺人熱淚但有很多小高潮，滿分100我給80。,2019/10/6 20:06,
ChiaChun,沒有你的名字好看！劇情很相似但也沒吸引力,2019/10/6 13:17,負面
宮水三葉,"雖然我不覺得祭品這麼容易就能要回來.....
沒摔成肉醬可惜了
但還是很好看",2019/10/6 10:47,正面
大野狼,"一開始覺得有點沉悶~讓我打了瞌睡,你的名字真的比較好看多了",2019/10/5 14:08,負面
vivian,"想睡?超想睡，
你的名字好看多了",2019/10/5 02:25,負面
CC,很有新海誠的味道～很不錯，喜歡??,2019/10/5 01:00,正面
阿勛,值得一看的作品！！！???,2019/10/4 21:00,正面
micki,畫面美 音樂尚可 劇情爛 看完很失望,2019/10/4 01:56,負面
沿融,這是一部注定會評價兩極的電影，比較不大眾化，看玩會一直覺得有爭議或直得思考的地方,2019/10/4 01:29,正面
norman,對不起，我無法給高分。看過了「你的名字」的確讓人驚豔，可以把青澀愛情刻劃這麼美。雖然「天氣之子」同樣也是如此轟轟烈烈，但我感覺膩了，畫風和劇情少了新鮮感。另外，帆高第一次舉槍時，也許那是無知，第二次舉槍時，我甚至失望到已經看不下去，應該列限制級或輔導級。,2019/10/3 17:16,負面
Jiun,不錯看！很棒的動畫片！感官享受！！,2019/10/3 09:29,正面
柚子,畫風細膩，音樂震撼，頗有深陷劇情之感,2019/10/3 03:45,正面
李,"很好看，很感動，也很好笑，感動的想哭，晴天娃娃好可愛喔！煙火表演好漂亮，
天空放晴後天空好美麗喔！水好漂亮好乾淨。
很直的進戲院看第二次，陽菜好漂亮
唱很好聽，最後感人。",2019/10/2 23:29,正面
..,"我看了兩次 第一次看覺得普通 
第二次看IMAX 就比較感動了 
音樂真的很好聽 
可是劇情還是你的名字比較好看 
天氣之子劇情真的有點不符合邏輯 有點怪
可是劇情內容比較簡單 看不懂你的名字的人 可能會覺得天氣之子這部比較好看！
整體給四顆星～劇情有點小缺陷 
還是推薦了 音樂真的好好聽 
喜歡弟弟扮的晴天娃娃和小雨貓貓 超可愛?",2019/10/2 21:05,正面
婷婷,"天氣之子真的真的很好看TT
還沒去電影院的朋友加緊腳步!!!",2019/10/2 14:53,正面
溫泉,"畫面很美美術無可話說,但劇情很普通很難有共鳴",2019/10/1 18:07,正面
cr0818,製作影像及音樂水平超高，劇情簡單易懂，有特別引述人類在未來的環境會惡化，希望讓在坐每個人能好好重視天氣暖化問題！,2019/10/1 07:55,正面
kirari,"今天去看了天氣之子，劇情沒什麼特別新鮮的，真的就是""普遍級""而已。
1.作者最後還是決定用同首歌當做片尾曲，但我覺得應該跟插曲不同比較好。
2.可能有看原著小說的才知道整個故事的脈絡，像我沒看過，根本不知道男主離家出走的主因，完全沒交待清楚。
3.「為了妳，我願意放棄整個世界」固然是對的，但結尾收的不好。誰想要連續三年都下雨。這跟""航海王""阿拉巴斯坦久旱逢甘霖的感覺完全不同。",2019/10/1 02:39,負面
小昭,今日第三刷，每次觀影都有些許不一樣的感覺。貼近生活的故事，寫實與奇幻相融，搭配得恰到好處。謝謝新海誠導演，繼《你的名字》之後讓我看見動畫仍能有如此精彩的呈現！,2019/9/30 22:24,正面
Guan Quan,畫面好看，音樂震撼，情節感人。在imax看的，值回票價。不愧是新海誠。,2019/9/30 21:53,正面
阿勒,劇情普通 前面鋪陳有點平淡  尾端較有緊湊感   與你的名子 還是差別甚大,2019/9/30 17:16,負面
Lin-Pei-Yu,劇情普通，但畫面很唯美，感受的到新海誠對美學的堅持。,2019/9/30 17:01,正面
A民,和超級英雄不同的反思.犧牲自己可以救東京? 我才不要咧~,2019/9/30 16:39,負面
╭。☆小蛇飄揚☆。╮,"#天氣之子

#天??子

#WeatheringWithYou

#天氣之子ㄧ還記得願意為愛粉身碎骨的自己嗎？

「星際救援」跟「天氣之子」兩難抉擇?

一樣價錢，大廳CP值高一點?

那就繼「你的名字」後，

日本動畫家新海誠的巨作吧～??

好多、好多的東京場景呀～
台場彩虹橋、東京鐵塔、晴空塔、澀谷最大十字路口?等

「妳已經不再是晴女了」帆高說。
當陽菜最後一次祈求晴天時?
兩個不被社會接納的孩子，
試圖解開彼此身上被現實綑綁的枷鎖，

#我們都不需要再活在誰的願望裡，
#接下來就為自己的陰晴祈禱吧。

巧妙的在劇中演出、
不要為了別人改變什麼！
好看！好看！純真的感動與感恩油然而生??",2019/9/30 09:28,正面
維峻  ＞Ａ＜,劇情平平，但人物刻畫鮮明，畫面跟音樂更是引人入勝，療育風必看清單。,2019/9/29 20:53,正面
小令,不得不說 有點浪費錢 劇情很無聊 無邏輯 只靠音樂和動畫在撐 比起你的名字差太多了,2019/9/29 19:36,負面
CHIU TAI YUAN,沒有到很讚狂推，但值得一看，不會浪費錢,2019/9/29 19:19,正面
Ju,劇情描述平實，前面有點沈悶，音樂好聽?,2019/9/29 18:08,正面
嵐,超好看的電影超好聽的音樂，青春的年代，純真的愛情!!值得推薦?,2019/9/29 12:57,正面
雄迪三世,真的很好看再衝一波~ 絕對要去電影院看這部~ 三刷了,2019/9/29 12:47,正面
一,不同以往的結局！誰說一定要大圓滿結局！女主角好看,2019/9/29 11:06,正面
Ericcc,絕對要去電影院看這部，音響存在感很強,2019/9/28 21:47,正面
Chinl,好看~ 畫面超美 音樂一樣有感染力 笑點比你的名字多許多 劇情後段也滿感動的 你的名字在劇情上比較有張力 天氣之子算是細水長流的情感 整部電影也非常多有趣與情感表現的地方在小細節畫面上 用心看才會發現 兩部電影我都很喜歡 有著各自散發出的不同感受,2019/9/28 17:29,正面
mama888,超好看的電影超好聽的音樂，青春的年代，純真的愛情!!值得推薦?,2019/9/28 07:58,正面
KzH,"美得不可思議
在至美之下,一切都相形見拙.",2019/9/27 17:10,正面
Chih Hung Li,新海誠的電影近幾部都有看，這部也不例外！抱著期待的心情入場，最後也沒有感到失望！我跟家人都覺得很好看！推薦！,2019/9/27 15:55,正面
太平洋,沒有五顆星就不要亂給阿~.~ 單純音樂欣賞不值滿分吧。 還有工讀生在洗要二刷三刷的勒... 錢又不會刷進你口袋。,2019/9/26 22:15,負面
腦兵,"今天去二刷了~
還是覺得好感人
下檔前在來去三刷",2019/9/26 19:09,正面
TMD KK,別嘴，就是沒你的名字好看，感動點根本不足，但畫面炫麗，歌還是一樣好聽。3星不能多了，就醬,2019/9/26 18:18,負面
Happy New Year~,不推薦到電影院看，劇情張力不足，且邏輯很多地方不通...原本很期待會比你的名字更精彩....,2019/9/26 13:00,負面
等ㄧ個人,只有新海誠能超越新海誠，動畫超美 音樂超好聽，很感人好看,2019/9/25 23:12,正面
花菲花,視覺效果不錯，但劇情真的很普通,2019/9/25 19:23,正面
阿龍,還不錯 但是我覺得你的名字很難被超越,2019/9/24 15:43,正面
律宏,"給五顆星，其實還沒看前看網路評價兩極 ，我還在想是怎回事。
終於找了個時間看了下、
只能說這部會相對需要對頻率跟胃口；
觀後感會更趨兩極。
只能說有看過前部作品再更之前作品的話、
那這部會讓人覺得... 嘿~海誠、你回來啦?
雖然剛看完可能不會像你的名字那樣後勁強烈，
你的名字比較偏向動人愛情符合大眾口味(清晰 簡單 明確)。
天氣之子則比較複雜，情緒起伏很大，
注重的是動作背後的意義及各層面的問題。
後勁沒前做強但更氣長、
很多小細節都是慢慢回想才想到，
阿~?原來如此這樣!!?

看完是覺得，
雨一直下、 卻清爽不潮溼，
後勁細長而..不能說綿密..
而是有天氣的味道； 一直再變；暗面層次上多元而豐富。

明面上；
這次天氣之子劇情上很好理解，
沒太多需高強度解析或難懂的部分(有看懂為前提)，
沒有什麼大英雄、只有為了自己而活(蠻寫實的 如果是你會怎麼選擇?)
但如果看不懂就會覺得整部前半段跟天氣一樣陰晴不定、
漫無目的啪的突然高潮了是哪招(其實是在亂中找序)
其實是有很多沒明說的部分必須自己去留意(海誠不明說 海誠背後來)

真要講大概分幾個重點：
1.有些獲得 都有相對的代價。
2.氣候惡化的警惕。
3.洋菜本身心情是否也可以說是呼應著天氣?
4.不同世代的分歧。
5.原諒與包容。
6.願望與選擇(覺得這兩點算是這部的主軸)。

為何開窗為何流淚？ 看得懂背後的心態應該就不會覺得難看而是細膩了(不愧是新海誠)
蠻多這種的..但怕具透所以該刪的都盡力刪除了。

天氣之子比你的名字更新海誠一點，
『因為一個是眾人之願(你的名字)』； 『一個是新海誠之願(這部)』

另外 、記得配合曲中意。

當然；他還是有些美中不足的部分，但是；
『如果說妳的名字就是一幅完美的畫作』；
『天氣之子這幅圖則是因不完美而完美』。",2019/9/24 04:55,正面
?,每個人的選擇，內心表現都是好看的點，推薦給喜歡內心戲的人,2019/9/24 00:08,正面
??,"今天在訂票前，看了這裡的評論，正評被噓，負評也被噓，於是決定抱著最多人所說的劇情普普畫面音樂超值得心態去看～

從十幾年前的星之聲、秒速五公厘（那時候我才高３），到最近的言葉之庭、你的名子，對我來說，新海誠的作品是獨特且非商業化，觸及人心的並非故事，而是刻畫的寫實場景，所以會有正負差異這麼大的評價都在預料之內，畢竟每個人體會到的感受都不太一樣，甚至看電影想得到的東西不一樣，有些人偏愛劇情，有些人偏愛爽度，所以我想以一個老粉的角度來寫評論。

這部片子主打地面上雨景及空景的變化，雲彩的細膩度首先突破許多，但可惜的是灰矇矇的場景過多，看不到以往的星空琉璃的美（美到舔幕～誤），甚至東京華麗的景像，有點雜亂不實，不到美的地步，實屬可惜，再者是劇情節奏時快時慢，在屋內的節奏過慢（作者想表達房內細膩度？），初期打工仔片段又跳太怪，根本來不及欣賞甚至有點目眩，這是秒五快速過場的詬病，再來評斷劇情的部分，劇情的格局來說甚小，但以作者過去的作品來說，本持者簡單又細膩的刻劃，是作者以往的作風，我個人特喜歡這種簡單的劇情，讓人著重在時間停滯場景的美與深刻，才是這一系列作品的特質，當然不能以宮崎駿的童幻來勘比，畢竟兩者的劇情風格各有不同的市場，想要享受高質感的畫風可以選新海誠作品，然而想要簡單又讓人感動深刻也可以選擇新海誠作品，這部片其實對我來說有點小失望，部份片段重覆外，東京的刻劃過多，可能對於日本人會有比較大的驚艷吧，再來是音樂的部分，這次有數首振奮人心的人聲歌曲，這種歌劇情的片段我特別喜歡，讓人放鬆又愉悅，但總評來說，就老粉的觀感上，若我都覺得有點不足可惜，那對於未接觸過新海誠作品的人可能會更加不能理解劇情上的節奏，甚至因為劇情張力不夠感到無聊，再者是我們以往作品期待看到炫目的天際星空或陽光斑斕的城市，實屬過少，大部分的灰濛濛的雨景過多，眼球爽度降低，最後的結尾，也沒有再讓我們感受到雨過天晴的震撼度，些微可惜，但結局是好的，總歸來說，我給此作品三顆星，輕鬆的劇情～精湛的畫風（美度略輸過往的星空或彩霞）～振奮的音樂～　但還是謝謝新海誠給我們這樣的作品，因為在市場上是看不到這麼細膩的動畫的。",2019/9/23 22:56,正面
J,值得一看～新海誠作品真的很棒！,2019/9/23 21:08,正面
oh my baby,淺顯易懂，很純真感人，比你的名字好看,2019/9/23 16:55,
雅慧,色彩豐富、配樂精釆！為什麼天氣必需放晴？為什麼天氣必需一直下雨？大自然自有其道！,2019/9/23 16:22,正面
丞小芳,"超級好看，新海誠的作品都棒
畫的很美，東京和我去的一模一樣
歌舞技町和新宿?
很懷念
音樂也好聽
但你的名字還是比較好看",2019/9/23 16:04,正面
Sword,超好看，我覺得比你的名字還好看耶!!!!,2019/9/23 10:31,正面
william,超級好看！看過你的名字的朋友更要來看！有亮點??????,2019/9/23 00:42,正面
唐清,這部增加了很多議題，不是單描寫愛情而已,2019/9/22 23:26,正面
益言,真心難看到想睡覺...你的名子的男女主角還跑來客串救火也沒用，以為所有的奇異現象是有原因的，結果...根本沒想要解釋的，導致一點深度也沒有，類似奇異現象主題，企鵝公路還比較好看,2019/9/22 22:12,負面
TONY,"光每一卡的精緻度就值得給滿分,
唯一疑問就是.. 天空有一層薄膜,破掉之後雨水像瀑布落下,是為什麼...?開場的船上也是..",2019/9/22 22:02,正面
嘎怡,"畫面100分，劇情0分，乘起來=0分
說到底為什麼沒有給0分的選項
一堆置入性行銷、超惡感彩蛋、無法稱得上是致敬的內容、牛頭不對馬嘴又交代不清的劇情，簡直白眼都要翻到太陽系邊界，只想大喊還我美好的週末",2019/9/22 21:34,負面
Ocean,好看 不用在那勉強把自己當評審～,2019/9/22 20:00,正面
OD,畫面唯美！跟你的名字一樣好看?,2019/9/22 19:08,正面
Cindy,這部比你的名字還要催淚，而且畫面也非常唯美，適合去電影院看，超推！！！,2019/9/22 15:46,正面
水庭,天氣之子的景色和音樂完美的搭配，而且這部電影的後勁極強 可以一看再看~,2019/9/22 11:35,正面
康康,"你的名字刷三次
天氣之子完全不想看第二次",2019/9/22 07:59,負面
哥吉拉,除了畫面以外，其他的部分都非常的難看,2019/9/22 02:21,負面
禁忌,他不是能被深度探討的電影，但裡面所表現的情感與情懷卻可能是我們曾經想像卻更可能不敢放手去掌握的，致青春,2019/9/22 00:45,正面
小丹,"好好看! 真是讓人感動的好電影
劇情 畫風 音樂都很喜歡!",2019/9/21 23:13,正面
馨文,天氣之子真的超級好看，想在二刷在看第二次,2019/9/21 22:22,正面
ASHLEY,好看，值得進戲院看。推薦哦，快去看,2019/9/21 18:57,正面
方宇,"難看
電影從頭到尾充滿滿滿的無病呻吟感
賣弄畫面華麗而已",2019/9/21 16:07,負面
ra1xp,不錯看，尤其是現在下雨的日子。歌很好聽，大家都聽到製作人員跑完才離場。劇情也不錯，詳細請自己去看吧~,2019/9/21 14:58,正面
玹宇,畫面很棒，故事的背景也很好發揮，但劇情略顯單薄，想說的議題都沒有好好說完，只是點到為止,2019/9/21 10:37,正面
冠勳,老實說看畫面真的很棒，但是劇情真的很不OK....看到打盹....,2019/9/21 00:49,負面
小月`,"真的很好看很推?
都想去二刷了",2019/9/20 21:58,正面
小明,"畫面和音樂,真的是太棒了,新海誠真的是品質守護者,看完眼淚都要流出來了,非常推薦,都想二刷了",2019/9/20 19:32,正面
小草,"新海誠的作品就是好,結尾可以加點什麼的讓眼淚可以瞬間衝出來！",2019/9/20 16:30,正面
逸,"整體而言算好看,但沒有""你的名字""表現的精彩
尤其在最後結尾時如沒有理解導演想表達的意境
會覺得結束的點很怪,大概要配合歌曲中的意境才會有另外的感動",2019/9/20 13:52,正面
阿鴻,強大又豪華的聲優陣容及寫實的動畫場景值得進戲院支持,2019/9/20 12:59,正面
NK,號稱台灣影史日片票房冠軍《你的名字》導演新海誠醞釀3年最新作品，但確實和 [你的名字] 有一段差距，劇情也沒太優，某些設定和畫風也和 [你的名字] 很相似，尤其是結尾的方式蠻弱的，總個來說也許是期待度太高所以看完就有些失望了....,2019/9/20 12:25,負面
ZOE,"覺得還好......畫面絕對是美的好看的，只是男女主角之間的關聯，愛情的部分，我覺得沒有強烈、深刻到打動我。雖然，如果是因為男女主角的年紀設定，而決定這樣的安排，當然可以說是合理的，尤其男主角的設定是有點中二、個性單純、有時候有勇氣冒險、衝動行事的男生，因此整個故事的呈現會比較""浪漫""(我的感覺是不太真實，單看角色互動的話)，也不是不能理解。只是我個人就真的沒有太大的感動。晴女的傳說、命運是真的蠻有意思的。",2019/9/20 12:20,正面
韓申東,我是覺得真心話，真的好看，音樂在加劇情真的有個瞬間眼淚衝出來！真的不錯看！,2019/9/20 08:17,正面
無名翔,"很好看
新海誠的作品總是不讓人失望",2019/9/20 07:58,正面
大楷,音樂和畫面的表現真的是神級 唯獨劇情上有點可惜,2019/9/19 21:04,正面
信志,唯美寫實的新海城風~暗暗引喻著對環境保護的強烈表達及訴求~也藉由情侶間的情感帶入扣人心旋的情緒~如果你的名子有5分這部至少還有4~4.5分~雷處不太多~算下半年來說不錯的影片了~加上無以匹敵的配樂~頗推薦情侶或是環保訴求愛好的朋友去看看~唯一缺點就是槍枝= =這是在暗喻美國槍枝氾濫成災的問題嗎?是整部片裡最格格不入的地方,2019/9/19 07:41,正面
Lala,不多說，花個幾百塊，好好享受的坐在電影院給他感動不要不要吧！,2019/9/19 04:33,正面
Bowei,很感人，動畫好寫實，故事很感人，推,2019/9/19 01:14,正面
矢車菊,"光是音樂跟作畫就值得去電影院欣賞了
雖然劇情沒有你的名子那麼好 不過還是有感動到",2019/9/18 22:50,正面
UNICOOPTINA,配樂及視覺上讚，但劇情普通。同我的名字有韓劇fu 。沒覺得有哭點，但笑點不少。劇情來說，喜歡宮崎駿勝過新海誠。,2019/9/18 20:40,正面
你老爸,小輸你的名字，比較沒有那種悸動感，但這部畫面、劇情、配樂都是上乘。,2019/9/18 19:24,正面
lawrence,最近看的第九分局及天氣之子是近期看到最有價值的電影，非常值得一看,2019/9/18 19:10,正面
劭禹,前面還行後面爛死,2019/9/18 18:30,負面
呱 ?,"場景畫風都很美，和你的名字不太相同
但也很好看
推??",2019/9/18 10:39,正面
清泓,"畫風依然很美~這集男主角很勇敢~為了愛奮不一切~另人動容
阿瀧三葉還有客串~真的有驚喜到~歌也很好聽
只有新海城能超越新海城",2019/9/18 10:03,正面
885765,"畫面可說是動畫新高峰 搭配配樂 畫面震撼感十足 必定要去電影院感受
劇情雖不及名子出色 但也為佳作  驚人的寫實畫風看過絕不後悔
並有許多彩蛋 要仔細看",2019/9/18 09:37,正面
阿芳芳,不得不說真的很好看 很推薦大家去看,2019/9/18 09:35,正面
Job00327,"畫面超美 劇情感人 
超好看 很好哭  很推薦大家去看",2019/9/18 02:06,正面
皓崴,對於已經四刷的我來說，為了只是懷念曾經的年少輕狂，也許曾經我們都有一個無法去因為生活以及其他本身所以放棄的人。但從中看見了一個少年不論如何為了一棵樹願意放棄自己的一切奮不顧身。也許當年有這樣或許很多事情都改變了。所以一個好不好看的問題，只能給你見仁見智，就像煙花的如果，如果自身沒有類似經驗又怎會感同身受呢？只要你有了共鳴都會認為你在看的不是電影而是曾經的自己罷了。不說廢話再去刷到下檔：）,2019/9/17 19:18,正面
AROD,"畫面劇情都還不錯, 只是劇情看到一半就猜的到後面了, 過程又跟你的名字有點相像, 結局覺得還好沒有很令人驚豔比較可惜",2019/9/17 17:32,正面
SEVEN,令人感動 全程不冷場 場景畫面都很美 懷念東京,2019/9/17 15:16,正面
豪豪,"不算差,但也沒到驚艷的程度,跟你的名字擺在一起了話,沒得比較,看的原因是因為本周沒啥新片可以選擇.想看天氣之子了話,進場前不要抱太高的期望值,應該會有比較好的觀賞體驗.",2019/9/17 12:26,正面
無內文 無本文 你看錯了,"這次男主角是刻意營造不成熟的感覺，對比你的名字的瀧，是相當不一樣的
看完的感想除了夏美我婆之外，就是男主角那個不可靠的告白了
年紀輕輕就許下一輩子的承諾，也是不成熟的象徵
感覺其中有被砍一段劇情，陽菜跟夏美說男主幼稚，但若不是觀眾的上帝視角
女主角怎麼會覺得幼稚呢?她還幫忙做了晴女的網站，這個行動力就很不得了了
但最後那一段，我做出了選擇，這段很好，整個東京落入水中也是在放大作出選擇的效果
至少男主角是果敢、果斷的，不拖泥帶水
不過我認為整部最迷的就是男主角為了點中二感就離家出走?不能理解
女主不接受社會福利的幫助我也覺得很迷，為了不跟弟弟分開?
但現今社會福利保護下，也不是真的分開才對
本篇內容倒是滿深刻的，只是對他們的動機感到疑惑

題外話，裡面說有言葉之庭與你的名字彩蛋，大家可以看完別人獎的彩蛋再去電影院聽一次，應該會有不一樣的感覺",2019/9/17 09:08,正面
阿循,"想像日本風景一樣美 空氣一樣好 那就用核能發電阿
還在傻傻的支持那個用假議題反核能用火力發電製造大量空污的冥禁黨嗎?
可惜一堆哈日族都綠的好騙 悲哀~~",2019/9/17 07:11,負面
紡自,"你的名字跟天氣之子的音樂和畫面都十分精細與優質，在畫面表現上，你的名字是精細於晴天時山谷間的景色、以及夢幻般的彗星；
而天氣之子有許多描寫城市雨天的畫面，所以大多會以灰色調來呈現，其中精細的部分在於雨滴的處理以及放晴時天色與雲朵的變化。

最多人比較的應該就是劇情了，不得不說，你的名字在劇情架構方面的確刻劃得比較細緻與完整，所以觀影完的當下可能會覺得你的名字略勝一籌，
但情感的堆疊則是天氣之子更為強烈，觀影完後會不斷思索劇情的環節，後勁猛烈。
而且相較於身分互換、不同的時間軸與隕石墜落的劇情，在陰雨不斷的城市裡讓天氣放晴則較為明瞭且更貼近現代人的生活。

如果要簡化兩部的劇情，簡單來說你的名字是「要救你就必需要先救村子，所以我用盡全力要保護村子」，
而天氣之子則是「如果只能選擇救你或是救城市，我他媽當然是救你，反正這世界怎麼樣我也管不了那麼多了」。
相較於犧牲自己來成就他人的大愛(沒錯鋼鐵人我就是在說你)，反倒是這種我只在乎有你的世界，畢竟我救了世界也沒有人知道的小愛更為寫實。

新海誠這次的作品相較於前作勢必會帶給觀眾更兩極的評價與討論，如果你是因為你的名字才認識新海誠，那麼你可能會覺得你的名字較為勝出，
但如果你是從秒速5公分就認識新海誠的話，這次的天氣之子會有種「新海誠你回來啦」，而且更加突破過往的感覺。

如果你單純問我比較喜歡哪一部？我會說是天氣之子，因為天氣之子我有二刷，你的名字只有看一遍XD",2019/9/17 01:49,正面
*＊Ｖｉｖｉ＊*,太澎湃了，史上最浪漫，太強！推,2019/9/17 00:01,正面
蔡,細緻的畫面加上滂薄音樂的簡直完美（值得二刷）但是內容沒有你的名字細膩。,2019/9/16 21:18,正面
老鼠,你名的作用力真的太強大，導致這部感受力沒這麼好...但畫風跟音樂確實令人喜愛,2019/9/16 20:56,正面
維,就會看動畫的人來說蠻好看的，只是長得像桐人有點違和感?,2019/9/16 19:44,正面
Pao,"畫面依然細膩、唯美是值得大大讚賞的！人物背景和故事內容完整性完全不行啊！電影中一直下雨，就算畫面很美看久了莫名覺得心煩。未成年的愛情故事及生活的窘迫感難以融入體會…但帶出了社會黑暗面與環保意識，與""你的名字""相比，少了熱血的感覺，多了很多沉重感！真心覺得可惜，無法超越前作！主題曲或是背景音樂也沒有讓人聽了很想去下載重複播放的感覺！！小彩蛋很棒，自己有發現很開心！",2019/9/16 17:12,正面
